# Time-averaged data for fix myavt
# TimeStep v_Fx v_Fy
15560 -82.4724 54.6111
15570 -50.2557 39.6404
15580 -46.256 49.4435
15590 -52.6533 48.5854
15600 -27.5813 27.4909
15610 -29.1652 21.3738
15620 -8.9769 13.7985
15630 -43.0569 10.0512
15640 1.2779 11.5776
15650 -1.89616 1.41713
15660 -12.704 -14.8825
15670 -38.4384 -26.686
15680 -38.3991 -72.7501
15690 -27.5171 -79.4547
15700 -48.5341 -35.9904
15710 -64.6507 -54.5142
15720 -64.0325 -38.4432
15730 17.9178 -8.69281
15740 41.5004 -25.2794
15750 60.291 -68.3559
15760 50.5083 -37.1273
15770 11.743 -11.1417
15780 29.4865 -1.81889
15790 72.9267 -58.7375
15800 95.8382 0.173981
15810 78.2905 -1.43417
15820 59.0085 -11.7237
15830 34.6993 -66.2164
15840 50.9071 -32.2815
15850 48.2145 -13.1209
15860 65.2934 2.1434
15870 70.4453 4.67395
15880 12.6536 -15.4098
15890 -18.7767 -29.2782
15900 -22.1081 -20.7679
15910 -20.5864 -0.844129
15920 13.5535 29.836
15930 -4.75759 -4.22505
15940 -33.6008 -36.7576
15950 -12.7126 -45.4572
15960 -31.4977 -8.83851
15970 -36.6454 -4.08635
15980 -25.5597 33.4949
15990 -89.9868 18.9238
16000 -75.5227 39.8614
16010 -39.2307 37.987
16020 34.6014 42.2205
16030 37.4474 66.3941
16040 24.5737 45.4602
16050 43.5023 61.8459
16060 43.7814 39.6215
16070 22.4304 23.339
16080 -8.29704 71.4927
16090 3.43507 64.1196
16100 24.1817 63.6797
16110 11.7805 61.3798
16120 14.4771 51.2599
16130 12.0158 35.6021
16140 -3.37248 41.608
16150 -29.8054 32.6091
16160 -10.1214 58.0488
16170 -34.3797 85.469
16180 -48.7464 100.546
16190 -52.2449 112.18
16200 -10.0837 130.331
16210 -18.068 118.341
16220 -49.4959 116.489
16230 -72.2823 128.632
16240 -22.5812 119.377
16250 22.0391 93.6943
16260 -18.719 51.435
16270 -59.4605 40.7324
16280 -70.5244 11.9756
16290 -40.0337 17.3231
16300 -47.3303 -10.131
16310 -27.4206 5.25876
16320 -3.19036 -0.354734
16330 -45.757 -14.877
16340 -68.7411 -10.6716
16350 -21.2574 -27.4895
16360 -74.2495 -32.9979
16370 -59.6101 2.78002
16380 -5.22239 6.92166
16390 41.4631 -20.3587
16400 8.69302 -65.9925
16410 25.275 -28.1331
16420 12.668 -8.42349
16430 56.6786 -0.387553
16440 18.2427 -5.18089
16450 28.7527 -4.41997
16460 34.0973 -63.6226
16470 72.3901 -123.875
16480 63.113 -142.336
16490 42.3049 -117.219
16500 3.98417 -117.656
16510 8.16192 -106.995
16520 36.9774 -75.1864
16530 62.1271 -31.2654
16540 74.6072 -33.1551
16550 45.5776 -51.7394
16560 18.1578 -71.2295
16570 15.6269 -79.2251
16580 12.9415 -69.367
16590 -3.24062 -74.4988
16600 -38.3298 -106.962
16610 -109.881 -72.1806
16620 -84.8756 -34.4699
16630 -56.412 4.53171
16640 -8.59862 -10.9089
16650 -61.7015 19.6289
16660 -15.4886 24.6841
16670 3.30884 1.77431
16680 -22.4827 21.9227
16690 -51.2915 46.2004
16700 -2.38477 37.3026
16710 -23.8999 5.73667
16720 -51.5428 -16.5879
16730 -44.505 -24.6187
16740 -17.1817 -88.8581
16750 -36.3299 -131.858
16760 -60.2735 -94.7361
16770 -53.964 -109.891
16780 1.47481 -148.594
16790 19.9566 -143.915
16800 6.60556 -148.708
16810 -24.5158 -116.753
16820 -18.5441 -146.946
16830 -44.7537 -95.5065
16840 -29.1281 -68.5893
16850 22.8723 -42.6767
16860 19.3123 -35.6464
16870 -28.5838 -63.8107
16880 -4.65326 -83.9447
16890 -19.3938 -31.5509
16900 -32.3908 -16.0762
16910 -17.4173 15.4327
16920 -14.8602 10.6186
16930 -30.8964 2.40979
16940 -17.7667 41.6797
16950 -6.50333 66.9595
16960 -24.4018 102.561
16970 -19.6859 74.7349
16980 4.67349 80.1903
16990 -4.73949 62.3651
17000 -19.2811 82.548
17010 29.555 106.545
17020 57.1763 96.6975
17030 48.4057 90.3435
17040 61.7136 122.999
17050 87.6827 149.561
17060 56.705 142.046
17070 15.126 104.346
17080 35.2083 89.7012
17090 73.4919 94.1996
17100 116.284 130.965
17110 136.218 95.8461
17120 150.48 92.9044
17130 157.593 114.628
17140 111.952 77.857
17150 100.838 45.4542
17160 108.764 24.2913
17170 121.309 98.7211
17180 56.8386 117.545
17190 43.4557 118.584
17200 51.8331 103.208
17210 41.6534 96.3934
17220 79.444 68.0416
17230 27.3486 -9.76628
17240 -4.56428 30.172
17250 12.638 69.8484
17260 -7.36789 64.6539
17270 -36.6456 41.4099
17280 -2.29913 28.7225
17290 15.0592 12.9966
17300 -15.4256 27.4954
17310 -15.4545 -1.41006
17320 -13.8184 -46.1802
17330 -41.8945 -76.0413
17340 -58.7242 -20.0906
17350 -44.5261 15.2614
17360 -32.0525 21.1505
17370 -75.0751 -0.404152
17380 -98.6329 27.7962
17390 -40.5256 32.0446
17400 -23.5508 23.0212
17410 -55.1199 -17.9099
17420 -25.6134 -18.9879
17430 2.08799 -41.3069
17440 26.662 -50.4172
17450 -13.9677 -74.0879
17460 -15.6253 -52.4317
17470 29.6809 -68.7712
17480 28.5411 -64.7159
17490 -13.0594 -58.0624
17500 32.9096 -50.3048
17510 4.14459 -18.903
17520 -41.7724 -19.1187
17530 -88.136 -42.5952
17540 -90.0311 -58.3776
17550 -53.822 -50.1869
17560 -57.7844 -12.8097
17570 -62.6729 1.854
17580 -34.4196 4.42886
17590 -56.7701 1.94051
17600 -74.3592 15.3359
17610 -81.7364 -26.9799
17620 -50.9561 -14.7753
17630 -45.9996 -70.1055
17640 -82.9275 -61.8106
17650 -91.7961 -56.2663
17660 -85.8571 -64.1422
17670 -68.8076 -101.449
17680 -75.2034 -125.888
17690 -53.1676 -116.292
17700 0.743454 -78.9649
17710 27.3176 -99.168
17720 52.5175 -34.5128
17730 40.6494 -25.1692
17740 56.5829 -27.6781
17750 61.0553 -25.0308
17760 50.7393 -19.9317
17770 0.457066 0.4952
17780 3.93612 -2.21911
17790 27.2843 27.6234
17800 43.609 30.9166
17810 -3.03042 9.19029
17820 -20.7182 59.618
17830 27.9675 48.4845
17840 9.61154 -16.1042
17850 24.579 -22.7338
17860 74.5327 -4.1825
17870 46.2056 3.02077
17880 14.0733 17.9536
17890 34.544 5.68333
17900 68.2312 8.77849
17910 94.8667 22.7572
17920 52.8349 41.3152
17930 36.4817 51.4843
17940 70.5008 46.6305
17950 47.9317 32.539
17960 28.0772 22.9668
17970 -4.23531 54.3001
17980 -13.8909 7.63735
17990 9.44403 11.6928
18000 5.70313 20.8239
18010 -0.878091 -4.24116
18020 -8.28918 -8.48884
18030 42.1914 15.511
18040 -11.0006 44.7921
18050 -39.7306 41.7453
18060 -34.3461 29.9887
18070 -50.0825 20.81
18080 -77.0368 2.32724
18090 -65.6334 -10.2051
18100 2.75099 -12.4647
18110 -2.41339 23.1391
18120 -63.2251 -30.0942
18130 -50.7092 -41.7224
18140 -24.2263 -9.66492
18150 -36.9732 29.735
18160 -27.2343 5.94225
18170 31.1838 -17.491
18180 56.0723 16.8934
18190 48.7881 -34.31
18200 -17.9213 -15.5469
18210 -24.5534 6.09798
18220 20.3206 -13.1061
18230 7.25458 -11.5538
18240 23.3919 3.81414
18250 51.0372 33.917
18260 12.1658 45.9975
18270 38.7621 34.7256
18280 57.7944 55.7029
18290 53.4305 44.6052
18300 4.54081 -1.31964
18310 -39.7412 -7.90997
18320 -59.0381 24.6811
18330 -55.2964 84.7678
18340 -110.181 66.5414
18350 -74.5631 15.8681
18360 -56.7423 -36.3877
18370 -60.2261 13.6815
18380 -39.2477 17.7363
18390 16.9575 -45.6007
18400 68.6712 -64.4544
18410 77.9257 -47.8056
18420 50.549 -84.293
18430 78.7914 -66.4825
18440 31.5263 -50.3438
18450 -46.9874 -61.5445
18460 -38.7288 -93.0137
18470 -28.4627 -46.4564
18480 -43.7215 -36.7479
18490 17.1633 19.328
18500 -16.5047 14.6188
18510 -18.6487 25.7467
18520 48.0103 43.6475
18530 55.6986 77.1032
18540 54.3731 51.904
18550 56.1366 16.0253
18560 85.3463 26.6226
18570 39.6605 1.28377
18580 21.1296 -6.52951
18590 23.7432 -17.3664
18600 41.988 -22.108
18610 63.0151 5.78625
18620 53.7431 -11.7523
18630 40.6744 -25.2593
18640 28.6937 -22.7123
18650 69.5737 -53.0868
18660 74.6278 -64.8974
18670 36.262 -71.2255
18680 -29.3963 -76.3154
18690 20.7229 -71.1106
18700 -13.392 -17.3582
18710 -19.0389 14.1211
18720 -28.8123 -12.961
18730 10.3054 -7.71171
18740 0.986359 10.4291
18750 -36.929 -14.1056
18760 -81.9006 -41.7403
18770 -82.0838 -55.4607
18780 -97.3767 -63.0309
18790 -128.427 -52.3391
18800 -78.1968 -23.1425
18810 -5.62557 13.869
18820 -0.343411 66.6061
18830 57.7153 73.4841
18840 46.5303 114.691
18850 -45.5544 81.3918
18860 -34.38 34.8277
18870 -9.30533 -24.1134
18880 -44.0339 -54.3505
18890 -38.9586 -49.4695
18900 -17.3314 -45.746
18910 -48.0485 -31.6062
18920 -53.5562 -23.6364
18930 -52.1254 -24.4656
18940 -43.0865 -31.6899
18950 -21.8726 -32.2958
18960 -42.0514 -37.7029
18970 -10.9812 -7.15312
18980 -28.0012 -28.6341
18990 -7.40971 -5.67175
19000 20.3524 -16.3092
19010 86.5436 -3.16445
19020 99.7174 3.98287
19030 59.0991 -9.10462
19040 32.688 -17.5636
19050 43.5595 -55.4154
19060 33.2114 -60.7439
19070 -19.8783 -44.2166
19080 -17.6082 -21.6686
19090 -16.2555 23.2136
19100 -7.02285 19.1465
19110 -43.2906 32.205
19120 -12.9932 57.6525
19130 14.5302 99.5721
19140 36.631 32.1387
19150 16.5808 52.742
19160 1.44189 60.9294
19170 8.56029 15.3447
19180 22.377 52.2162
19190 -2.72306 40.9532
19200 3.24709 -20.7911
19210 -17.5717 -20.1107
19220 -22.1551 12.6346
19230 -15.4295 16.9735
19240 17.1129 -20.9839
19250 10.8827 -58.1153
19260 14.0201 -54.1355
19270 -36.0973 -39.5585
19280 -38.0934 -60.6446
19290 -46.0161 -21.8649
19300 -57.0495 22.6993
19310 -48.47 58.2039
19320 -17.5228 19.6742
19330 -42.5497 49.7414
19340 -59.6866 54.0389
19350 -24.3988 66.7814
19360 28.1878 86.9097
19370 -7.58865 68.7883
19380 -10.8483 65.0335
19390 3.65782 89.0836
19400 24.8894 59.3395
19410 -2.93402 28.0609
19420 -10.2581 23.3122
19430 -17.9026 40.4002
19440 -54.3347 53.4096
19450 -85.9731 49.2952
19460 -44.8479 62.0716
19470 -17.2659 63.0126
19480 21.4564 56.0507
19490 54.1309 57.7973
19500 89.7498 77.0683
19510 95.9095 48.7914
19520 90.1277 44.1966
19530 92.7065 52.2721
19540 43.8266 47.6234
19550 27.91 6.1781
19560 5.23016 1.60572
19570 2.59164 8.2204
19580 -37.959 13.2129
19590 -47.6906 -7.29783
19600 28.6892 -24.6409
19610 1.9287 -33.3395
19620 -46.4363 -58.0137
19630 -24.2065 -47.6214
19640 11.3642 -6.53185
19650 -26.1629 9.67271
19660 -56.7883 5.1056
19670 -61.0335 3.49512
19680 -30.85 -28.2979
19690 -28.2183 -42.0836
19700 -0.895625 -85.4791
19710 14.6285 -55.3841
19720 35.0488 -28.904
19730 59.0467 -43.2948
19740 69.9578 -24.1874
19750 94.1164 29.3374
19760 96.7954 4.99013
19770 109.117 -47.7017
19780 77.0128 -48.3663
19790 80.5884 -42.5355
19800 83.7664 -52.9201
19810 119.766 -73.6056
19820 100.933 -102.572
19830 60.5078 -92.6261
19840 81.9444 -58.8458
19850 87.5104 -22.6029
19860 60.9438 -6.38621
19870 31.312 1.76663
19880 34.9353 -20.1028
19890 -0.675065 5.38678
19900 -42.1751 5.85399
19910 -30.8947 12.4924
19920 -50.8672 40.265
19930 -100.029 21.8795
19940 -139.32 38.9387
19950 -100.772 17.0799
19960 -103.087 -1.76023
19970 -98.9089 8.1824
19980 -69.2332 -58.3232
19990 -80.4282 -30.0411
20000 -110.611 25.8285
20010 -89.9846 56.8576
20020 -55.3274 38.011
20030 -11.2173 36.174
20040 6.60238 54.1247
20050 27.9094 38.6246
20060 41.9679 44.1757
20070 -7.70591 14.0384
20080 16.9905 33.3261
20090 -4.87728 69.3733
20100 -47.1154 67.3731
20110 -24.6566 60.0287
20120 -12.9009 48.0239
20130 -44.1325 63.0168
20140 -63.9397 55.4962
